"Display Name","ID","Costing Method","Inventory Valuation","Price Difference Account/ID","Price Difference Account/Code","Price Difference Account/Account Name","Price Difference Account/Type","Price Difference Account/Active","Price Difference Account/Companies/ID","Price Difference Account/Companies/Company Name"
"Popular Group / Summit မုန့်စင်","654","Standard Price","Periodic (at closing)","77250","502004","Price Different","Expenses","True","118","Popular Plastic Group"
"Popular Group / Summit မှန်","659","Standard Price","Periodic (at closing)","77250","502004","Price Different","Expenses","True","118","Popular Plastic Group"
"Popular Group / Summit ယပ်တောင်","668","Standard Price","Periodic (at closing)","77250","502004","Price Different","Expenses","True","118","Popular Plastic Group"
"Popular Group / Summit ရေခဲဘူး","679","Standard Price","Periodic (at closing)","77250","502004","Price Different","Expenses","True","118","Popular Plastic Group"
"Popular Group / Summit ရေတကောင်း","665","Standard Price","Periodic (at closing)","77250","502004","Price Different","Expenses","True","118","Popular Plastic Group"
"Popular Group / Summit ရေပုံး","674","Standard Price","Periodic (at closing)","77250","502004","Price Different","Expenses","True","118","Popular Plastic Group"
"Popular Group / Summit လင်ဗန်း","664","Standard Price","Periodic (at closing)","77250","502004","Price Different","Expenses","True","118","Popular Plastic Group"
"Popular Group / Summit အမှိုက်ပုံး","675","Standard Price","Periodic (at closing)","77250","502004","Price Different","Expenses","True","118","Popular Plastic Group"
"Popular Group / Summit အုပ်ဆောင်း","656","Standard Price","Periodic (at closing)","77250","502004","Price Different","Expenses","True","118","Popular Plastic Group"
"Popular Group / ခုံ","608","Standard Price","Periodic (at closing)","77250","502004","Price Different","Expenses","True","118","Popular Plastic Group"
"Popular Group / ချိတ်","596","Standard Price","Periodic (at closing)","77250","502004","Price Different","Expenses","True","118","Popular Plastic Group"
"Popular Group / ခြင်း","598","Standard Price","Periodic (at closing)","77250","502004","Price Different","Expenses","True","118","Popular Plastic Group"
"Popular Group / စက်ဘီးခြင်း","271","Standard Price","Periodic (at closing)","77250","502004","Price Different","Expenses","True","118","Popular Plastic Group"
"Popular Group / စင်","605","Standard Price","Periodic (at closing)","77250","502004","Price Different","Expenses","True","118","Popular Plastic Group"
"Popular Group / စားပွဲ","607","Standard Price","Periodic (at closing)","77250","502004","Price Different","Expenses","True","118","Popular Plastic Group"
"Popular Group / ဆပ်ပြာခွက်","584","Standard Price","Periodic (at closing)","77250","502004","Price Different","Expenses","True","118","Popular Plastic Group"
