"Display Name","ID","Costing Method","Inventory Valuation","Price Difference Account/ID","Price Difference Account/Code","Price Difference Account/Account Name","Price Difference Account/Type","Price Difference Account/Deprecated","Price Difference Account/Company/ID","Price Difference Account/Company/Company Name"
"SOGO. / Switch/Socket","338","Standard Price","Automated","4866","502004","Price Difference ","Expenses","","26","Dawbon Industry (1.10.21)"
"Semi Finished Goods","3333","Standard Price","Manual","","","","","","",""
"Septic Tank","3587","Standard Price","Manual","","","","","","",""
"Septic Tank - Accessories","3588","Standard Price","Manual","","","","","","",""
"Smart Aircon","3284","Standard Price","Automated","4866","502004","Price Difference ","Expenses","","26","Dawbon Industry (1.10.21)"
"Socket DL","3385","Standard Price","Manual","","","","","","",""
"Sprinkler","337","Standard Price","Automated","4866","502004","Price Difference ","Expenses","","26","Dawbon Industry (1.10.21)"
"Sticker","3586","Standard Price","Manual","","","","","","",""
"Thinwall","610","Standard Price","Automated","","","","","","",""
"Trunking","376","Standard Price","Automated","4866","502004","Price Difference ","Expenses","","26","Dawbon Industry (1.10.21)"
"Trunking / PVC E-Pipe","318","Standard Price","Automated","4866","502004","Price Difference ","Expenses","","26","Dawbon Industry (1.10.21)"
"Trunking / Trunking","344","Standard Price","Automated","4866","502004","Price Difference ","Expenses","","26","Dawbon Industry (1.10.21)"
"Union","345","Standard Price","Automated","","","","","","",""
"Waste","3383","Standard Price","Manual","","","","","","",""
"Water Tap","352","Standard Price","Automated","","","","","","",""
"Window Accessory","3301","Standard Price","Manual","","","","","","",""
"YS Design","3303","Standard Price","Automated","4866","502004","Price Difference ","Expenses","","26","Dawbon Industry (1.10.21)"
"Yoma Pipe (Cancel)","681","Standard Price","Automated","","","","","","",""
"ကားကတ်ဆက်","3286","Standard Price","Automated","4866","502004","Price Difference ","Expenses","","26","Dawbon Industry (1.10.21)"
"ကြက်စာခွက်","629","Standard Price","Automated","","","","","","",""
"ကြိတ်သားသံစားပွဲ","638","Standard Price","Automated","","","","","","",""
"ကြွေပြား","3285","Standard Price","Automated","4866","502004","Price Difference ","Expenses","","26","Dawbon Industry (1.10.21)"
"ခြင်းလုံး","632","Standard Price","Automated","","","","","","",""
"ဂဏန်းခြင်း","3280","Standard Price","Automated","","","","","","",""
"ငှက်သိုက်ခွက်","3612","Standard Price","Manual","","","","","","",""
"စည်ပင်အမှိုက်ပုံး","1897","Standard Price","Automated","","","","","","",""
"စတီးစားပွဲ","636","Standard Price","Automated","","","","","","",""
"စာအုပ်စင်","641","Standard Price","Automated","","","","","","",""
"ဆီပေပါ","3298","Standard Price","Manual","","","","","","",""
"နို့ဆီပုံး","628","Standard Price","Automated","","","","","","",""
"ပန်းအိုး","627","Standard Price","Automated","","","","","","",""
"ပုဂံစင်","640","Standard Price","Automated","","","","","","",""
