Company ID,Category ID,Category,Source valuation,Before,After
2,630,Repro Tee ,Manual,Perpetual (at invoicing),Periodic (at closing)
2,631,သော့ချိတ်,Manual,Perpetual (at invoicing),Periodic (at closing)
2,632,ခြင်းလုံး,Manual,Perpetual (at invoicing),Periodic (at closing)
2,633,Clip,Manual,Perpetual (at invoicing),Periodic (at closing)
2,635,သံစားပွဲ,Manual,Perpetual (at invoicing),Periodic (at closing)
2,636,စတီးစားပွဲ,Manual,Perpetual (at invoicing),Periodic (at closing)
2,637,King သံစားပွဲ,Manual,Perpetual (at invoicing),Periodic (at closing)
2,638,ကြိတ်သားသံစားပွဲ,Manual,Perpetual (at invoicing),Periodic (at closing)
2,639,အ၀တ်လှန်းစင်,Manual,Perpetual (at invoicing),Periodic (at closing)
2,640,ပုဂံစင်,Manual,Perpetual (at invoicing),Periodic (at closing)
2,641,စာအုပ်စင်,Manual,Perpetual (at invoicing),Periodic (at closing)
2,642,မုန့်စင်,Manual,Perpetual (at invoicing),Periodic (at closing)
2,643,သံခုံ,Manual,Perpetual (at invoicing),Periodic (at closing)
2,644,လမ်းဘလောက်တုံး,Manual,Perpetual (at invoicing),Periodic (at closing)
2,645, မယ်လမင်း Group / Mango မယ်လမင်း,Manual,Perpetual (at invoicing),Periodic (at closing)
2,646, မယ်လမင်း Group / Mango မယ်လမင်းအပါး,Manual,Perpetual (at invoicing),Periodic (at closing)
2,647, မယ်လမင်း Group / Lion မယ်လမင်း,Manual,Perpetual (at invoicing),Periodic (at closing)
2,648,Popular Group / ORDER,Manual,Perpetual (at invoicing),Periodic (at closing)
2,649,ရွှေဘူး,Manual,Perpetual (at invoicing),Periodic (at closing)
2,650,ရာဘာခံခွက်,Manual,Perpetual (at invoicing),Periodic (at closing)
2,651,Popular Group / Summit ဇလုံ,Manual,Perpetual (at invoicing),Periodic (at closing)
2,652,Popular Group / Summit ဇကာ,Manual,Perpetual (at invoicing),Periodic (at closing)
2,653,Popular Group / Summit ခြင်း,Manual,Perpetual (at invoicing),Periodic (at closing)
2,654,Popular Group / Summit မုန့်စင်,Manual,Perpetual (at invoicing),Periodic (at closing)
2,655,Popular Group / Summit စင်,Manual,Perpetual (at invoicing),Periodic (at closing)
2,656,Popular Group / Summit အုပ်ဆောင်း,Manual,Perpetual (at invoicing),Periodic (at closing)
2,657,Popular Group / Summit ဆီးအိုး,Manual,Perpetual (at invoicing),Periodic (at closing)
2,658,Popular Group / Summit ဂေါ် ပြား,Manual,Perpetual (at invoicing),Periodic (at closing)
2,659,Popular Group / Summit မှန်,Manual,Perpetual (at invoicing),Periodic (at closing)
2,660,Popular Group / Summit ဘူး,Manual,Perpetual (at invoicing),Periodic (at closing)
2,661,Popular Group / Summit စဉ့်နီတုံး,Manual,Perpetual (at invoicing),Periodic (at closing)
2,662,Popular Group / Summit ကတော့,Manual,Perpetual (at invoicing),Periodic (at closing)
2,663,Popular Group / Summit ချိတ်,Manual,Perpetual (at invoicing),Periodic (at closing)
2,664,Popular Group / Summit လင်ဗန်း,Manual,Perpetual (at invoicing),Periodic (at closing)
2,665,Popular Group / Summit ရေတကောင်း,Manual,Perpetual (at invoicing),Periodic (at closing)
2,666,Popular Group / Summit ဂျိုင့်,Manual,Perpetual (at invoicing),Periodic (at closing)
2,667,Popular Group / Summit ခွက်,Manual,Perpetual (at invoicing),Periodic (at closing)
2,668,Popular Group / Summit ယပ်တောင်,Manual,Perpetual (at invoicing),Periodic (at closing)
2,669,Popular Group / Summit ပန်းအိုး,Manual,Perpetual (at invoicing),Periodic (at closing)
2,670,Popular Group / Summit ဖလား,Manual,Perpetual (at invoicing),Periodic (at closing)
2,671,Popular Group / Summit ပုဂံ,Manual,Perpetual (at invoicing),Periodic (at closing)
2,672,Popular Group / Summit Box,Manual,Perpetual (at invoicing),Periodic (at closing)
2,673,Popular Group / Summit ဆပ်ပြာခွက်,Manual,Perpetual (at invoicing),Periodic (at closing)
